index;Nitrogen Dioxide(NO2);Bar Pressure(Bar Pressure);PM 10(RSPM);PM 2.5(PM2.5);Sulfur Dioxide(SO2);Temperature(TEMP)
 18/08/2015;86.1;759.38;;55.84;10.58;27.56
 18/09/2015;71.43;762.81;;52.84;11.82;29.66
 18/10/2015;;760.75;;;8.47;27.71
 18/11/2015;35.84;757.63;;128.52;13.99;18.04
 18/12/2015;25.92;758.63;;106.4;29.34;12.77
 19/01/2015;54.83;756.29;308.63;;8.1;10.44
 19/02/2015;74.36;754.86;268.3;;3.79;21.08
 19/03/2015;44.83;753.94;79.98;;5.05;15.04
 19/04/2015;68.67;750.62;;74.78;11.71;30.01
 19/05/2015;68.62;752.39;;59.23;3.83;36.46
 19/06/2015;34.76;749.23;;90.37;4.93;35.04
 19/07/2015;20.5;756.49;;50.28;3.36;26.88
 19/08/2015;28.25;760.02;;48.38;4.22;28.48
 19/09/2015;67.84;762.03;;52.32;11.29;28.73
 19/10/2015;;760.23;;;10.67;28.15
 19/11/2015;47.1;753.87;;152.01;16.68;17.97
 19/12/2015;23.15;758.41;;100.22;19.02;12.15
 20/01/2015;43.31;756.86;197.68;;4.1;10.52
 20/02/2015;74.1;755.91;259.56;;3.66;21.46
 20/03/2015;48.99;754.24;76.52;;4.75;16.13
 20/04/2015;70.47;752.28;;60.5;7.68;30.79
 20/05/2015;50.9;753.51;;55.52;3.33;36.63
 20/06/2015;22.57;750.41;;73.15;3.59;31.87
 20/08/2015;26.92;759.52;;48.64;4.07;27.44
 20/09/2015;74.93;761.3;;56.1;12.35;29.5
 20/10/2015;;758.45;;;5.86;28.6
 20/11/2015;50.18;758.32;;160.49;18.78;17.95
 20/12/2015;35.92;758.67;;128.71;27.86;12.31
 21/01/2015;53.12;757.87;217.36;;5.97;10.82
 21/02/2015;58.67;756.76;314.74;;4.46;19.92
 21/03/2015;45.07;754.51;77.74;;4.83;17.92
 21/04/2015;57.67;752.24;;58.37;7.08;29.4
 21/05/2015;48.0;752.39;;55.12;3.69;35.89
 21/06/2015;27.24;747.09;;65.9;4.1;29.39
 21/08/2015;32.12;758.06;;48.78;4.64;29.81
 21/09/2015;70.33;761.02;;52.46;11.66;29.07
 21/10/2015;;759.37;;;7.8;26.73
 21/11/2015;44.97;758.61;;148.89;19.86;17.67
 21/12/2015;27.47;758.42;;109.85;22.6;12.03
 22/01/2015;48.84;757.35;220.94;;8.28;10.27
 22/02/2015;32.03;755.56;179.74;;2.5;15.06
 22/03/2015;31.28;752.83;57.52;;3.09;18.51
 22/04/2015;71.52;750.55;;64.16;8.71;29.2
 22/05/2015;47.56;751.04;;53.63;3.53;35.55
 22/06/2015;32.66;748.51;;69.39;4.7;31.32
 22/07/2015;23.18;758.23;;48.94;3.66;32.07
 22/08/2015;34.45;758.75;;49.13;4.9;30.12
 22/09/2015;66.24;760.51;;51.61;11.05;28.92
 22/10/2015;;760.18;;;7.79;24.58
 22/11/2015;37.44;758.34;;131.5;15.69;17.96
 22/12/2015;36.48;759.15;;104.55;23.23;12.04
 23/01/2015;31.53;757.2;180.31;;2.53;12.39
 23/03/2015;39.12;752.45;58.37;82.51;3.84;18.31
 23/04/2015;89.04;750.86;;83.93;14.3;26.53
 23/05/2015;43.1;749.62;;63.59;3.23;36.32
 23/06/2015;43.14;750.25;;71.53;5.85;30.51
 23/07/2015;21.67;758.13;;48.9;3.49;31.65
 23/09/2015;44.39;760.95;;49.44;8.12;27.19
 23/10/2015;;758.11;;;5.44;23.32
 23/11/2015;65.89;758.44;;195.54;17.2;17.77
 23/12/2015;14.11;759.44;;55.31;14.17;11.49
 24/01/2015;25.39;757.54;169.03;;21.48;9.72
 24/02/2015;48.64;753.06;213.54;;2.99;23.17
 24/03/2015;47.43;755.48;;70.81;4.25;20.33
 24/04/2015;96.63;751.19;;80.12;13.22;14.63
 24/05/2015;46.34;750.09;;81.67;3.42;35.35
 24/06/2015;29.31;754.05;;72.3;4.59;27.42
 24/07/2015;23.75;759.07;;49.08;3.72;30.43
 24/08/2015;39.85;759.78;;50.51;5.49;29.45
 24/09/2015;48.08;756.5;;45.11;8.32;25.95
 24/10/2015;;755.8;;;5.8;24.38
 24/11/2015;52.95;758.19;;166.67;18.76;18.3
 24/12/2015;8.11;758.33;;52.83;11.17;11.88
 25/01/2015;19.88;758.12;153.89;;14.44;10.97
 25/02/2015;53.72;752.28;203.36;;6.02;21.44
 25/03/2015;62.3;756.78;;91.52;6.06;21.33
 25/04/2015;72.8;751.56;;61.34;7.91;14.39
 25/05/2015;42.89;749.74;;102.49;3.16;36.27
 25/06/2015;21.04;753.32;;32.92;3.42;25.18
 25/07/2015;23.41;755.82;;49.29;3.69;30.53
 25/08/2015;30.5;759.55;;48.79;4.46;29.77
 25/09/2015;55.63;755.11;;59.51;9.46;27.28
 25/10/2015;;756.76;;;6.26;26.56
 25/11/2015;38.03;757.7;;133.4;12.74;18.67
 25/12/2015;8.38;757.75;;54.33;12.78;11.53
 26/01/2015;;758.31;;;;9.48
 26/02/2015;42.03;753.21;161.53;;9.79;18.04
 26/03/2015;45.1;757.83;47.45;82.77;13.11;22.08
 26/04/2015;44.72;753.69;;52.71;5.48;13.27
 26/05/2015;42.97;751.31;;73.02;3.07;35.31
 26/06/2015;25.0;753.77;;69.86;3.86;29.41
 26/07/2015;20.94;752.93;;48.85;3.41;30.39
 26/08/2015;28.58;759.65;;48.42;4.25;30.09
 26/09/2015;63.14;756.02;;64.37;10.58;28.02
 26/10/2015;;759.75;;;7.57;28.74
 26/11/2015;51.24;757.83;;162.87;11.41;18.89
 26/12/2015;5.93;757.78;;56.78;8.98;12.24
 27/01/2015;36.04;756.76;181.33;;5.27;11.8
 27/02/2015;41.18;755.19;135.71;;8.53;16.64
 27/03/2015;37.29;757.29;;66.1;23.71;22.45
 27/04/2015;42.15;752.92;;52.25;5.34;14.7
 27/05/2015;55.5;752.96;;69.28;4.13;33.09
 27/06/2015;17.91;755.22;;73.61;3.08;31.03
 27/07/2015;20.78;755.33;;48.84;3.4;29.53
 27/08/2015;23.65;760.46;;48.0;4.63;18.52
 27/09/2015;62.45;757.44;;66.15;10.48;28.68
 27/10/2015;;759.89;;;5.97;29.23
 27/11/2015;37.86;758.03;;133.02;14.09;17.67
 27/12/2015;12.05;757.33;;54.12;18.96;17.15
 28/01/2015;33.83;755.93;196.24;;4.36;8.71
 28/02/2015;53.87;755.85;67.66;;5.35;18.78
 28/03/2015;60.36;754.24;;112.85;59.72;24.58
 28/04/2015;48.2;751.17;;53.63;5.74;14.98
 28/05/2015;50.49;752.32;;139.84;4.82;34.18
 28/06/2015;25.12;757.41;;74.69;3.87;33.47
 28/07/2015;22.4;756.01;;49.04;3.57;27.92
 28/08/2015;24.98;742.49;;48.78;6.2;11.06
 28/09/2015;49.83;758.56;;46.71;8.58;27.64
 28/10/2015;30.27;760.21;;131.59;11.41;19.1
 28/11/2015;37.08;759.46;;131.29;13.1;18.46
 28/12/2015;7.96;757.63;;51.92;17.05;16.01
 29/01/2015;45.13;756.72;243.29;;3.58;8.87
 29/03/2015;52.14;753.44;;82.55;36.38;20.42
 29/04/2015;59.95;749.94;;56.52;6.55;17.06
 29/05/2015;42.29;752.97;;52.39;3.12;34.73
 29/06/2015;20.23;760.24;;62.14;3.34;29.66
 29/07/2015;26.28;754.86;;48.87;4.0;26.85
 29/09/2015;60.49;759.69;;47.19;10.18;26.54
 29/10/2015;17.75;760.93;;126.68;7.97;19.64
 29/11/2015;40.38;759.33;;138.29;19.32;18.69
 29/12/2015;5.71;757.83;;51.74;13.77;15.88
 30/01/2015;45.62;757.79;227.7;;3.7;10.03
 30/03/2015;27.18;754.81;;54.95;15.12;17.54
 30/04/2015;48.65;750.08;;53.68;5.75;17.34
 30/05/2015;53.3;753.53;;37.29;3.89;35.0
 30/06/2015;23.0;759.15;;62.53;3.63;30.88
 30/07/2015;23.55;755.66;;48.17;3.7;27.08
 30/08/2015;22.84;760.91;;48.87;9.41;10.34
 30/09/2015;54.68;;;;9.31;
 30/10/2015;7.13;759.49;;163.38;7.12;22.79
 30/11/2015;53.75;758.97;;168.46;17.15;21.36
 30/12/2015;9.5;758.35;;283.01;17.48;15.51
 31/01/2015;58.93;755.88;337.71;;5.14;11.08
 31/03/2015;54.04;754.93;;73.39;29.32;21.32
 31/05/2015;32.03;752.7;;31.01;2.78;32.98
 31/07/2015;28.48;756.67;;49.28;4.24;27.34
 31/08/2015;21.3;761.29;;49.0;18.99;9.62
 31/10/2015;9.07;758.47;;318.76;4.88;20.69
 31/12/2015;11.82;750.65;;239.35;14.26;18.11
