index;Nitrogen Dioxide(NO2);PM 2.5(PM2.5);Solar Radiation(SR);Temperature(TEMP);Sulfur Dioxide(SO2)
 23/06/2016;16.4;220.42;256.2;30.28;4.94
 23/07/2016;8.67;;139.86;29.77;3.66
 23/08/2016;23.86;49.03;148.95;30.61;6.59
 23/09/2016;34.19;64.73;281.16;30.88;8.77
 23/10/2016;35.44;153.01;134.58;27.03;27.43
 23/11/2016;38.65;138.73;96.22;20.64;9.26
 23/12/2016;21.51;245.01;136.3;15.67;10.33
 24/01/2016;21.09;206.70;;8.91;5.97
 24/02/2016;31.95;113.44;;20.02;3.06
 24/04/2016;24.34;147.44;;29.59;15.22
 24/05/2016;9.05;;610.44;32.93;18.17
 24/06/2016;15.4;216.98;351.32;32.27;5.58
 24/07/2016;14.2;58.32;127.19;31.41;6.43
 24/08/2016;23.04;50.55;349.67;29.11;6.43
 24/09/2016;34.35;67.64;142.6;28.68;8.03
 24/10/2016;32.5;126.56;141.23;26.8;27.92
 24/11/2016;44.53;158.82;134.55;20.83;7.69
 24/12/2016;22.86;267.42;134.95;20.74;11.72
 25/01/2016;21.73;197.03;;9.92;6.74
 25/02/2016;28.7;132.89;;21.49;2.73
 25/03/2016;22.11;94.14;;31.44;59.47
 25/04/2016;21.23;112.46;;30.88;28.37
 25/07/2016;14.89;93.61;118.47;31.49;5.33
 25/08/2016;25.14;49.05;295.43;29.9;7.48
 25/09/2016;34.06;66.04;159.2;29.27;8.23
 25/10/2016;31.05;110.21;163.33;26.4;19.4
 25/11/2016;41.36;119.43;95.17;21.9;7.41
 25/12/2016;15.0;164.03;38.81;18.24;11.43
 26/01/2016;38.01;258.79;;13.3;6.36
 26/02/2016;29.59;131.22;;22.24;2.26
 26/03/2016;11.78;100.04;;23.37;20.99
 26/04/2016;30.39;113.64;;32.07;6.89
 26/05/2016;48.1;;191.6;34.74;6.6
 26/07/2016;10.19;64.25;85.2;29.53;5.07
 26/08/2016;21.4;55.59;197.83;30.09;8.82
 26/09/2016;40.44;74.11;169.03;29.76;10.7
 26/10/2016;32.0;150.71;194.44;26.5;15.12
 26/11/2016;40.87;107.54;95.16;23.08;7.34
 26/12/2016;14.95;109.39;157.95;18.98;20.86
 27/01/2016;43.14;209.29;;16.07;4.95
 27/02/2016;37.58;153.15;;21.36;2.71
 27/03/2016;11.22;93.48;;24.28;10.1
 27/04/2016;38.32;121.80;;32.57;6.09
 27/05/2016;19.64;153.22;228.78;33.49;9.55
 27/06/2016;20.6;524.37;234.12;33.69;4.4
 27/07/2016;8.65;47.46;84.55;28.16;3.86
 27/08/2016;20.44;57.64;498.27;30.87;7.99
 27/09/2016;42.98;70.27;173.43;30.09;9.07
 27/10/2016;30.99;208.07;190.31;25.6;11.68
 27/11/2016;41.3;113.83;90.71;22.24;7.71
 28/01/2016;29.69;280.20;;14.32;6.1
 28/02/2016;28.69;151.83;;21.79;3.74
 28/03/2016;13.99;110.38;;24.58;8.86
 28/04/2016;26.32;139.11;;31.76;4.4
 28/05/2016;13.86;112.35;416.21;35.63;5.68
 28/06/2016;19.9;153.94;186.57;30.09;4.92
 28/07/2016;22.86;49.51;324.67;31.05;4.38
 28/08/2016;21.79;59.62;784.58;30.72;6.91
 28/09/2016;43.07;87.52;91.26;28.76;5.73
 28/10/2016;20.96;182.60;185.6;24.08;11.74
 28/11/2016;36.65;113.03;93.8;20.87;10.4
 29/02/2016;33.04;142.02;;22.99;3.81
 29/03/2016;19.06;73.49;;28.35;62.23
 29/04/2016;29.8;135.38;;31.91;8.4
 29/06/2016;16.92;121.75;268.27;34.0;8.34
 29/07/2016;15.4;48.82;50.28;27.14;5.76
 29/08/2016;20.06;53.71;789.17;28.68;7.52
 29/09/2016;41.19;85.68;314.59;32.02;6.0
 29/10/2016;43.34;212.82;175.99;25.33;9.4
 29/11/2016;56.12;177.76;103.83;19.79;8.48
 30/01/2016;46.41;233.01;;21.67;5.1
 30/03/2016;22.77;103.38;;26.52;29.16
 30/04/2016;30.97;133.69;;31.42;6.64
 30/05/2016;19.61;318.57;395.29;27.77;7.6
 30/06/2016;16.3;117.86;293.88;35.49;4.48
 30/07/2016;8.84;48.47;140.11;27.27;3.81
 30/08/2016;21.1;52.09;786.75;29.37;7.48
 30/09/2016;45.78;101.67;185.01;31.86;5.31
 30/10/2016;35.22;285.01;202.1;24.88;8.95
 30/11/2016;70.58;169.46;182.04;19.98;10.78
 31/01/2016;21.11;234.00;;16.78;6.76
 31/03/2016;30.62;147.05;;28.53;6.14
 31/05/2016;11.17;312.64;107.96;25.41;7.23
 31/07/2016;7.8;52.65;146.01;28.72;4.56
 31/08/2016;25.64;47.19;573.52;28.4;8.55
 31/10/2016;30.34;520.57;174.02;23.78;15.15
