index;Nitrogen Dioxide(NO2);PM 2.5(PM2.5);Solar Radiation(SR);Temperature(TEMP);Sulfur Dioxide(SO2)
 17/02/2017;36.95;113.44;275.38;21.54;7.49
 17/03/2017;22.02;;212.86;24.33;8.06
 17/04/2017;45.94;118.99;711.72;37.19;7.90
 17/05/2017;13.97;71.55;182.72;34.07;4.35
 17/06/2017;18.47;47.79;166.43;29.43;4.49
 17/07/2017;216.65;57.16;45.22;41.71;1.66
 17/09/2017;38.59;55.31;91.62;32.46;5.92
 17/10/2017;41.81;156.91;83.17;31.10;8.49
 17/11/2017;45.46;169.22;45.61;23.81;14.04
 17/12/2017;30.57;111.66;75.53;21.32;8.90
 18/01/2017;34.35;143.43;166.67;13.65;5.90
 18/02/2017;35.97;94.52;426.47;25.91;7.65
 18/03/2017;24.67;;227.78;27.16;8.98
 18/04/2017;43.57;142.06;710.95;38.21;6.55
 18/05/2017;19.61;63.48;219.66;36.37;4.23
 18/06/2017;32.45;65.79;237.59;36.59;6.59
 18/07/2017;69.62;49.43;191.45;56.99;3.15
 18/08/2017;22.64;48.37;162.64;35.70;10.44
 18/09/2017;55.48;64.48;114.18;32.92;5.29
 18/10/2017;39.11;182.22;79.06;31.15;12.50
 18/11/2017;46.74;166.04;70.65;24.25;11.32
 18/12/2017;35.27;137.30;83.95;22.68;10.88
 19/01/2017;32.94;129.19;171.69;16.55;10.92
 19/02/2017;37.72;85.30;396.67;26.49;7.89
 19/03/2017;34.88;;200.52;27.47;6.80
 19/04/2017;39.02;126.74;712.79;38.11;8.70
 19/05/2017;25.47;82.85;182.10;34.24;6.90
 19/06/2017;21.73;48.79;16.68;31.52;7.60
 19/07/2017;285.53;46.33;72.10;28.18;5.16
 19/09/2017;36.04;71.83;98.99;33.36;6.89
 19/10/2017;41.88;217.53;76.94;31.59;12.77
 19/11/2017;46.09;165.91;63.29;23.73;10.34
 19/12/2017;36.88;178.01;64.95;21.45;17.13
 20/01/2017;34.43;72.44;58.64;10.92;14.58
 20/02/2017;34.69;92.03;371.02;28.72;9.50
 20/03/2017;29.17;;232.41;26.25;9.25
 20/04/2017;39.43;130.60;712.73;38.61;6.96
 20/05/2017;38.19;136.56;112.56;34.51;12.48
 20/06/2017;44.56;44.54;120.47;21.99;10.74
 20/07/2017;41.52;35.66;142.05;33.11;3.33
 20/09/2017;28.84;75.94;107.68;33.50;5.37
 20/10/2017;44.61;509.83;71.57;31.48;16.15
 20/11/2017;51.34;182.00;65.98;22.65;11.44
 20/12/2017;33.48;239.94;57.87;21.53;20.60
 21/01/2017;40.10;98.22;142.97;15.91;17.98
 21/02/2017;24.31;103.99;346.12;23.00;7.82
 21/03/2017;32.03;;231.58;27.12;11.45
 21/04/2017;37.30;168.14;709.54;38.56;5.12
 21/05/2017;32.58;203.43;161.20;33.42;10.22
 21/06/2017;47.92;210.82;219.50;34.49;13.72
 21/07/2017;23.02;48.57;138.32;44.85;7.43
 21/09/2017;39.22;71.53;82.73;33.08;5.66
 21/10/2017;42.31;259.72;72.74;30.96;6.53
 21/11/2017;51.90;177.48;63.95;22.28;11.52
 21/12/2017;30.04;271.18;74.17;22.20;19.50
 22/01/2017;35.65;130.12;150.75;14.63;18.92
 22/02/2017;28.50;103.37;434.51;21.08;7.45
 22/03/2017;38.01;;97.55;25.67;19.97
 22/04/2017;25.77;181.53;706.62;36.35;4.64
 22/05/2017;31.15;142.60;48.57;30.68;12.07
 22/06/2017;38.42;167.21;245.92;34.98;12.04
 22/07/2017;17.03;45.93;124.72;37.29;7.36
 22/08/2017;23.16;60.24;52.13;30.96;11.16
 22/09/2017;27.10;85.93;46.54;30.73;5.89
 22/10/2017;43.45;157.51;72.93;31.33;5.76
 22/11/2017;54.77;191.93;65.19;22.51;14.73
 22/12/2017;25.42;161.26;75.08;22.46;16.36
 23/01/2017;35.13;109.41;171.83;16.23;14.95
 23/02/2017;27.53;100.31;358.89;22.43;8.46
 23/03/2017;36.66;112.64;203.14;35.87;7.08
 23/04/2017;27.30;112.44;709.72;35.92;4.14
 23/05/2017;43.21;101.41;182.24;34.27;9.84
 23/06/2017;61.92;624.57;194.03;36.70;13.21
 23/07/2017;13.47;47.41;111.89;50.63;11.12
 23/08/2017;23.87;57.68;63.71;31.92;8.51
 23/09/2017;19.36;70.97;59.57;29.93;5.67
 23/10/2017;47.40;228.04;74.12;31.05;6.53
 23/11/2017;56.23;196.41;64.11;22.48;13.86
 23/12/2017;24.56;158.07;71.73;23.57;14.52
 24/01/2017;40.15;153.15;164.54;14.28;14.83
 24/02/2017;24.20;91.48;327.31;22.51;6.61
 24/03/2017;31.48;434.30;182.89;30.99;7.92
 24/04/2017;24.31;124.95;582.39;34.64;4.29
 24/05/2017;35.41;124.13;165.08;36.92;4.55
 24/06/2017;28.43;210.54;169.97;41.10;18.60
 24/07/2017;33.19;44.15;47.69;21.20;32.19
 24/08/2017;21.82;61.68;43.52;31.54;8.52
 24/09/2017;28.26;72.14;89.79;30.93;4.17
 24/10/2017;42.63;184.79;70.77;30.30;7.85
 24/11/2017;56.39;190.28;63.18;22.52;12.81
 24/12/2017;26.39;176.28;78.23;25.14;17.93
 25/01/2017;44.03;195.74;134.21;20.80;15.93
